Ship_got_good {%1 units of %2 salvaged}
Ship_cant_got_good {no room for %1!}
seg_Balls {Cannonballs}
seg_Grapes {Grape shot}
seg_Knippels {Chain shot}
seg_Bombs {Exploding shot}
seg_Sailcloth {Canvas}
seg_Planks {Planks}
seg_Slaves {Slaves}
seg_Wheat {Wheat}
seg_Ebony {Ebony}
seg_Chocolate {Cacao}
seg_Sugar {Sugar}
seg_Wine {Wine}
seg_Linen {Linen}
seg_Rum {Rum}
seg_Tobacco {Tobacco}
seg_Coffee {Coffee}
seg_Mahogany {Mahogany}
seg_Cinnamon {Cinnamon}
seg_Copra {Copra}
seg_Paprika {Paprika}
seg_Fruits {Fruits}
seg_Ale {Ale}
seg_Silk {Silk}
seg_Clothes {Clothes}
seg_Cotton {Cotton}
seg_Sandal {Sandalwood}
seg_Leather {Leather}
seg_Oil {Oil}
seg_Food {Rations}
seg_Weapon {Weapons}
seg_Gold {Gold}
seg_Silver {Silver}
seg_Powder {Powder}
seg_Brick {Bricks}
seg_Medicament {Medicines}
